1,2,3,4,5,6
"22704,279524","16979,033794","10388,603322","6319,8996712","4381,653262",
"16909,40069","10839,133827","6456,4810224","5014,2837856","827,77154751",
"17332,282124","11501,271321","7293,8459219","5221,5619603","3472,8979018","2514,0771529"
"20507,658174","18017,358329","12669,004256","11852,941644","10679,848311","9163,8413681"
"22636,261827","22196,463835","16581,582745","10835,631251","7219,138243","3891,3045904"
"15359,627304","9270,8068018","4937,0528419","1640,5616489",,
"21357,57843","18628,678675","4147,5828035",0,,
"15357,858294","11070,163069","6916,4008729","6115,4546098",,
"18922,495118","13798,960915","11691,737772",,,
"17142,872607","6460,4355913","5410,3815095",,,
"21426,828618","20117,271095","19846,358641",,,
"17129,460416","5275,1246763","223,42128748",0,,
"28088,082585","22628,237048","19005,351846","18186,84814",,
"18748,684913","18358,931009","17895,419645",,,
"20665,717777","13798,26357","12045,442545",,,
"17057,042841","9767,8916981","6353,1197315",,,
"16995,130174","9066,8556508","7769,2793448",,,
"18223,380441","9181,4740564","5368,8181521","2487,3992433","1744,0989066",
"16467,201986","12255,612073","9318,3366829","5368,0420858",,
"40681,698388","33884,151861","17250,98924","6130,6822105","3964,7232705",
"18924,272871","18162,340047","16178,76715",,,
"14247,477944","3463,4582215","2874,0035587","2757,9298471",,
"17640,717586","13508,160571","6822,4416206",,,
"16481,36476","9353,4034026","8805,8096413",,,
"14349,776339","13520,360655","11661,586363",,,
"20968,131922","19677,900593","19239,71771",,,
"19296,229854","8653,3261293","4411,5041593","4293,5860906",,
"23635,997981","17775,547876","13974,317178",,,
"18287,375453","4740,6663586","39,55714689",0,,
"22235,08701","14503,753871","9742,1111116",,,
"28782,154579","23568,366205","17549,513233",,,
"16983,073697","4558,9754703",0,,,
"21431,521392","17665,607845","15162,98317",,,
"22393,226417","17305,058928","16614,499254",,,
"14260,107444","4162,6575079",0,,,
"21542,992205","11275,49358","5890,2684412",,,
"32403,315806","31222,407768","27108,487467",,,
"20363,91428","6128,9796873",0,,,
"17332,665626","6648,591311",0,,,
"14207,666685","10385,860578","5087,1789484",,,
"16007,278352","8843,9222005","3952,9870207",,,
"20350,352126","8717,0746937","3431,2815613","2345,6727496",,
"15905,187434","11228,195951","10834,548054","9376,018377",,
"12831,527946","3742,5575663","2893,8452861",0,,
"16964,710765","5272,0171648","3532,0101343","2033,2060484","1816,3056945",
"19099,407205","9623,8578151","7238,5960476","5077,0069257","3302,1495181",
"17449,571224","9380,6934115","2790,623406","1701,1341151",0,
